method,resolution,repeats,time_s
vector,1024x1024,1,0.2445
numba,1024x1024,1,0.4205
numba-parallel,1024x1024,1,1.673
mp,1024x1024,1,0.5047
vector,2048x2048,1,0.9518
numba,2048x2048,1,1.0124
numba-parallel,2048x2048,1,1.7647
mp,2048x2048,1,1.8614
vector,3072x3072,1,2.1938
numba,3072x3072,1,1.9996
numba-parallel,3072x3072,1,1.9104
mp,3072x3072,1,3.4548
vector,4096x4096,1,3.8242
numba,4096x4096,1,3.4022
numba-parallel,4096x4096,1,2.1471
mp,4096x4096,1,5.8131
vector,5120x5120,1,5.91
numba,5120x5120,1,5.1423
numba-parallel,5120x5120,1,2.3957
mp,5120x5120,1,9.3263
vector,6144x6144,1,8.7831
numba,6144x6144,1,7.2594
numba-parallel,6144x6144,1,2.7531
mp,6144x6144,1,13.7171
vector,7168x7168,1,12.0171
numba,7168x7168,1,9.8439
numba-parallel,7168x7168,1,3.1398
mp,7168x7168,1,18.7332
vector,8192x8192,1,15.6226
numba,8192x8192,1,12.7723
numba-parallel,8192x8192,1,3.6489
mp,8192x8192,1,24.6814
vector,1024x1024,5,1.2072
numba,1024x1024,5,1.2024
numba-parallel,1024x1024,5,1.8013
mp,1024x1024,5,2.4963
vector,2048x2048,5,4.7631
numba,2048x2048,5,4.1827
numba-parallel,2048x2048,5,2.3269
mp,2048x2048,5,9.1298
vector,3072x3072,5,10.923
numba,3072x3072,5,9.1431
numba-parallel,3072x3072,5,3.041
mp,3072x3072,5,17.2011
vector,4096x4096,5,18.9278
numba,4096x4096,5,16.0354
numba-parallel,4096x4096,5,4.1161
mp,4096x4096,5,30.0934
vector,5120x5120,5,29.5029
numba,5120x5120,5,24.8964
numba-parallel,5120x5120,5,5.4877
mp,5120x5120,5,46.6113
vector,6144x6144,5,43.3175
numba,6144x6144,5,35.5109
numba-parallel,6144x6144,5,7.1663
mp,6144x6144,5,69.7438
vector,7168x7168,5,64.9877
numba,7168x7168,5,48.6357
numba-parallel,7168x7168,5,9.1753
mp,7168x7168,5,93.543
vector,8192x8192,5,78.5514
numba,8192x8192,5,62.9822
numba-parallel,8192x8192,5,11.5988
mp,8192x8192,5,123.7448
